Channel_SKU,Master_SKU,SKU_Name,Channel
8806182577406,30100470,"The Face Shop Water Fit Lip Tint - Rose Pink, Waterproof & Long Lasting Lip & Cheek Tint(5gm)",Nykaa
8806182577413,30100471,"The Face Shop Water Fit Lip Tint - Pink Mate, Waterproof & Long Lasting Lip & Cheek Tint 5gm",Nykaa
8806182577420,30100472,"The Face Shop Water Fit Lip Tint - 3 Picnic Red, Waterproof & Long Lasting Lip & Cheek Tint(5gm)",Nykaa
8806182577437,30100473,"The Face Shop Water Fit Lip Tint - Red Signal, Waterproof & Long Lasting Lip & Cheek Tint (5g)",Nykaa
8806182577444,30100474,"The Face Shop Water Fit Lip Tint - Cherry Kiss, Waterproof & Long Lasting Lip & Cheek Tint (5g)",Nykaa
8806182579165,30100456,"The Face Shop Chia Seed Hydro Toner With Vitamin B12 & Chia Seeds, Face Toner For 24Hr Hydration (160 ml)",Nykaa
8806182579172,30100457,"The Face Shop Chia Seed Hydro Lotion With Vitamin B12, Everyday Wear Face Cream For 24Hr Hydration (145ML)",Nykaa
8806182579189,30100458,"The Face Shop Chia Seed Hydro Mist With Vitamin B12 & Chia Seeds, Mist Toner For 24Hr Hydration",Nykaa
8806182579196,30100459,"The Face Shop Chia Seed Hydro Cream With Vitamin B12, 24Hr Intense Hydration Face Moisturizer (50ML)",Nykaa
8806182582103,30100520,The Face Shop Dr.Belmeur Clean Face Mild Toner With 2% Niacinamide (145ml),Nykaa
8806182582110,30100521,The Face Shop Dr.Belmeur Clean Face Mild Lotion With Squalane(145ml),Nykaa
8806364010653,30100511,"The Face Shop Herb Day 365 Face Wash - Aloe & Greentea, Hydrates Skin & Maintains Ph Level(170ml)",Nykaa
8806364010660,30100510,"The Face Shop Herb Day 365 Face Wash- Lemon & Grapefruit, Face Wash With Vitamin C & Glycolic Acid (170ml)	",Nykaa
8888820200924,TFSCOM00254,The Face Shop X Corallista - Ankita’s Glow Getter’s Kit(5 pieces),Nykaa
NYFRETHFS0051,30100160,Free The Face Shop White Seed Brightening Discovery Kit(74ml),Nykaa
NYFRETHFS0074,30100297,Free The Face Shop Chia Seed Lotion 32ml(32ml),Nykaa
NYFRETHFS0075,30100298,Free The Face Shop Chia Seed Hydrating Toner 32ml(32ml),Nykaa
NYFRETHFS0078,30100335,Free The Face Shop Chia Seed Hydrating Trio Kit(74ml),Nykaa
NYFRETHFS0082,TFSFREE00001,Free The Face Shop Gwp Pouches - Assorted(),Nykaa
NYFRETHFS0088,TFSFREE00056,Free The Face Shop White Seed Brightening Serum With 2% Niacinamide (10Ml)(10ml),Nykaa
NYFRETHFS0096,30100367,Free The Face Shop Rice Water Bright Foaming Cleanser(50ml),Nykaa
NYFRETHFS0130,30100443,Free The Face Shop Rice Water Bright Foaming Cleanser 100ml(100ml),Nykaa
NYFRETHFS0147,30100513,Free The Face Shop Chia Seed Hydrating Travel Kit(74ml),Nykaa
NYFRETHFS0148,TFSFREE00042,Free The Face Shop X AA Living : Plus Bath Mats(1 pcs),Nykaa
NYFRETHFS0151,30100514,Free The Face Shop Green Natural Seed Antioxidant Trio Kit(74ml),Nykaa
THEFA00000011,30100529,"The Face Shop Rice & Ceramide Moisturizing Skincare Set, Complete Travel Friendly Skincare Routine (78 ml)",Nykaa
THEFA00000012,30100523,The Face Shop Naturalsun Eco Super Active Sun Cream Spf 50+ Sun Protection For Outdoor Sports (50ML),Nykaa
THEFA00000014,30100525,"The Face Shop Naturalsun Eco Super Perfect Sunscreen Spf 50+, Sun Protection For Indoor Activities (45 ml)",Nykaa
THEFA00000015,30100526,The Face Shop Naturalsun Eco Sunscreen Primer Spf 50+ Pa++++ With 2% Zinc Oxide & Squalane(50ml),Nykaa
THEFA00000016,30100527,"The Face Shop Naturalsun Eco Mattifying Sun Compact Spf 30, Pa ++, Full Coverage Compact",Nykaa
THEFA00000017,30100528,"The Face Shop Naturalsun Eco Hydrating Sunscreen Spf 50+, Broad Spectrum Protection & No White Cast (50 ml)",Nykaa
